Index 235, 2024-02-09 00:00:00, -1, 188.85
Index 236, 2024-02-12 00:00:00, -1, 187.15
Index 237, 2024-02-13 00:00:00, -1, 185.04
Index 238, 2024-02-14 00:00:00, -1, 184.15
Index 239, 2024-02-15 00:00:00, -1, 183.86
Index 240, 2024-02-16 00:00:00, 1, 182.31
Index 241, 2024-02-20 00:00:00, 1, 181.56
Index 242, 2024-02-21 00:00:00, -1, 182.32
Index 243, 2024-02-22 00:00:00, -1, 184.37
Index 244, 2024-02-23 00:00:00, -1, 182.52
Index 245, 2024-02-26 00:00:00, -1, 181.16
Index 246, 2024-02-27 00:00:00, -1, 182.63
Index 247, 2024-02-28 00:00:00, -1, 181.42
Index 248, 2024-02-29 00:00:00, -1, 180.75
Index 249, 2024-03-01 00:00:00, -1, 179.66
Index 250, 2024-03-04 00:00:00, -1, 175.1
Index 251, 2024-03-05 00:00:00, 1, 170.12
Index 252, 2024-03-06 00:00:00, 1, 169.12
Index 253, 2024-03-07 00:00:00, 1, 169.0
Index 254, 2024-03-08 00:00:00, 1, 170.73
Index 255, 2024-03-11 00:00:00, 1, 172.75
Index 256, 2024-03-12 00:00:00, 1, 173.23
Index 257, 2024-03-13 00:00:00, 1, 171.13
Index 258, 2024-03-14 00:00:00, 1, 173.0
Index 259, 2024-03-15 00:00:00, 1, 172.62
Index 260, 2024-03-18 00:00:00, 1, 173.72
Index 261, 2024-03-19 00:00:00, -1, 176.08
Index 262, 2024-03-20 00:00:00, -1, 178.67
Index 263, 2024-03-21 00:00:00, 1, 171.37
Index 264, 2024-03-22 00:00:00, -1, 172.28
Index 265, 2024-03-25 00:00:00, 1, 170.85
Index 266, 2024-03-26 00:00:00, 1, 169.71
Index 267, 2024-03-27 00:00:00, -1, 173.31
Index 268, 2024-03-28 00:00:00, 1, 171.48
Index 269, 2024-04-01 00:00:00, 1, 170.03
Index 270, 2024-04-02 00:00:00, 1, 168.84
Index 271, 2024-04-03 00:00:00, 1, 169.65
Index 272, 2024-04-04 00:00:00, 1, 168.82
Index 273, 2024-04-05 00:00:00, 1, 169.58
Index 274, 2024-04-08 00:00:00, 1, 168.45
Index 275, 2024-04-09 00:00:00, 1, 169.67
Index 276, 2024-04-10 00:00:00, 1, 167.78
Index 277, 2024-04-11 00:00:00, -1, 175.04
Index 278, 2024-04-12 00:00:00, -1, 176.55
Index 279, 2024-04-15 00:00:00, -1, 172.69
Index 280, 2024-04-16 00:00:00, 1, 169.38
Index 281, 2024-04-17 00:00:00, 1, 168.0
Index 282, 2024-04-18 00:00:00, 1, 167.04
Index 283, 2024-04-19 00:00:00, 1, 165.0
Index 284, 2024-04-22 00:00:00, 1, 165.84
Index 285, 2024-04-23 00:00:00, 1, 166.9
Index 286, 2024-04-24 00:00:00, 1, 169.02
Index 287, 2024-04-25 00:00:00, 1, 169.89
Index 288, 2024-04-26 00:00:00, 1, 169.3
Index 289, 2024-04-29 00:00:00, 1, 173.5
Index 290, 2024-04-30 00:00:00, 1, 170.33
Index 291, 2024-05-01 00:00:00, 1, 169.3
Index 292, 2024-05-02 00:00:00, 1, 173.03
Index 293, 2024-05-03 00:00:00, 1, 183.38
Index 294, 2024-05-06 00:00:00, 1, 181.71
Index 295, 2024-05-07 00:00:00, 1, 182.4
Index 296, 2024-05-08 00:00:00, 1, 182.74
Index 297, 2024-05-09 00:00:00, 1, 184.57
Index 298, 2024-05-10 00:00:00, 1, 183.05
Index 299, 2024-05-13 00:00:00, 1, 186.28
Index 300, 2024-05-14 00:00:00, 1, 187.43
Index 301, 2024-05-15 00:00:00, 1, 189.72
Index 302, 2024-05-16 00:00:00, 1, 189.84
Index 303, 2024-05-17 00:00:00, 1, 189.87
Index 304, 2024-05-20 00:00:00, 1, 191.04
Index 305, 2024-05-21 00:00:00, 1, 192.35
Index 306, 2024-05-22 00:00:00, 1, 190.9
Index 307, 2024-05-23 00:00:00, 1, 186.88
Index 308, 2024-05-24 00:00:00, 1, 189.98
Index 309, 2024-05-28 00:00:00, 1, 189.99
Index 310, 2024-05-29 00:00:00, 1, 190.29
Index 311, 2024-05-30 00:00:00, 1, 191.29
Index 312, 2024-05-31 00:00:00, 1, 192.25
Index 313, 2024-06-03 00:00:00, 1, 194.03
Index 314, 2024-06-04 00:00:00, 1, 194.35
Index 315, 2024-06-05 00:00:00, 1, 195.87
Index 316, 2024-06-06 00:00:00, 1, 194.48
Index 317, 2024-06-07 00:00:00, 1, 196.89
Index 318, 2024-06-10 00:00:00, 1, 193.12
Index 319, 2024-06-11 00:00:00, 1, 207.15
Index 320, 2024-06-12 00:00:00, 1, 213.07
Index 321, 2024-06-13 00:00:00, 1, 214.24
Index 322, 2024-06-14 00:00:00, 1, 212.49
Index 323, 2024-06-17 00:00:00, 1, 216.67
Index 324, 2024-06-18 00:00:00, 1, 214.29
Index 325, 2024-06-20 00:00:00, 1, 209.68
Index 326, 2024-06-21 00:00:00, 1, 207.49
Index 327, 2024-06-24 00:00:00, 1, 208.14
Index 328, 2024-06-25 00:00:00, 1, 209.07
Index 329, 2024-06-26 00:00:00, 1, 213.25
Index 330, 2024-06-27 00:00:00, 1, 214.1
Index 331, 2024-06-28 00:00:00, 1, 210.62
Index 332, 2024-07-01 00:00:00, 1, 216.75
Index 333, 2024-07-02 00:00:00, 1, 220.27
Index 334, 2024-07-03 00:00:00, 1, 221.55
Index 335, 2024-07-05 00:00:00, 1, 226.34
Index 336, 2024-07-08 00:00:00, 1, 227.82
Index 337, 2024-07-09 00:00:00, 1, 228.68
Index 338, 2024-07-10 00:00:00, -1, 232.98
Index 339, 2024-07-11 00:00:00, 1, 227.57
Index 340, 2024-07-12 00:00:00, 1, 230.54
Index 341, 2024-07-15 00:00:00, -1, 234.4
Index 342, 2024-07-16 00:00:00, -1, 234.82
Index 343, 2024-07-17 00:00:00, -1, 228.88
Index 344, 2024-07-18 00:00:00, -1, 224.18
Index 345, 2024-07-19 00:00:00, -1, 224.31
Index 346, 2024-07-22 00:00:00, -1, 223.96
Index 347, 2024-07-23 00:00:00, -1, 225.01
Index 348, 2024-07-24 00:00:00, 1, 218.54
Index 349, 2024-07-25 00:00:00, 1, 217.49
Index 350, 2024-07-26 00:00:00, 1, 217.96
Index 351, 2024-07-29 00:00:00, 1, 218.24
Index 352, 2024-07-30 00:00:00, 1, 218.8
Index 353, 2024-07-31 00:00:00, -1, 222.08
Index 354, 2024-08-01 00:00:00, 1, 218.36
Index 355, 2024-08-02 00:00:00, 1, 219.86
Index 356, 2024-08-05 00:00:00, 1, 209.27
Index 357, 2024-08-06 00:00:00, 1, 207.23
Index 358, 2024-08-07 00:00:00, 1, 209.82
Index 359, 2024-08-08 00:00:00, 1, 213.31
Index 360, 2024-08-09 00:00:00, 1, 216.24
Index 361, 2024-08-12 00:00:00, 1, 217.53
Index 362, 2024-08-13 00:00:00, 1, 221.27
Index 363, 2024-08-14 00:00:00, 1, 221.72
Index 364, 2024-08-15 00:00:00, 1, 224.72
Index 365, 2024-08-16 00:00:00, 1, 226.05
Index 366, 2024-08-19 00:00:00, 1, 225.89
Index 367, 2024-08-20 00:00:00, 1, 226.51
Index 368, 2024-08-21 00:00:00, 1, 226.4
Index 369, 2024-08-22 00:00:00, 1, 224.53
Index 370, 2024-08-23 00:00:00, 1, 226.84
Index 371, 2024-08-26 00:00:00, 1, 227.18
Index 372, 2024-08-27 00:00:00, -1, 228.03
Index 373, 2024-08-28 00:00:00, 1, 226.49
Index 374, 2024-08-29 00:00:00, -1, 229.79
Index 375, 2024-08-30 00:00:00, -1, 229.0
Index 376, 2024-09-03 00:00:00, -1, 222.77
Index 377, 2024-09-04 00:00:00, -1, 220.85
Index 378, 2024-09-05 00:00:00, 1, 222.38
Index 379, 2024-09-06 00:00:00, 1, 220.82
Index 380, 2024-09-09 00:00:00, 1, 220.91
Index 381, 2024-09-10 00:00:00, 1, 220.11
Index 382, 2024-09-11 00:00:00, 1, 222.66
Index 383, 2024-09-12 00:00:00, 1, 222.77
Index 384, 2024-09-13 00:00:00, 1, 222.5
Index 385, 2024-09-16 00:00:00, 1, 216.32
Index 386, 2024-09-17 00:00:00, 1, 216.79
Index 387, 2024-09-18 00:00:00, 1, 220.69
Index 388, 2024-09-19 00:00:00, 1, 228.87
Index 389, 2024-09-20 00:00:00, 1, 228.2
Index 390, 2024-09-23 00:00:00, 1, 226.47
Index 391, 2024-09-24 00:00:00, 1, 227.37
Index 392, 2024-09-25 00:00:00, 1, 226.37
Index 393, 2024-09-26 00:00:00, 1, 227.52
Index 394, 2024-09-27 00:00:00, -1, 227.79
Index 395, 2024-09-30 00:00:00, -1, 233.0
Index 396, 2024-10-01 00:00:00, 1, 226.21
Index 397, 2024-10-02 00:00:00, 1, 226.78
Index 398, 2024-10-03 00:00:00, 1, 225.67
Index 399, 2024-10-04 00:00:00, 1, 226.8
Index 400, 2024-10-07 00:00:00, 1, 221.69
Index 401, 2024-10-08 00:00:00, 1, 225.77
Index 402, 2024-10-09 00:00:00, 1, 229.54
Index 403, 2024-10-10 00:00:00, 1, 229.04
Index 404, 2024-10-11 00:00:00, 1, 227.55
Index 405, 2024-10-14 00:00:00, 1, 231.3
Index 406, 2024-10-15 00:00:00, 1, 233.85
Index 407, 2024-10-16 00:00:00, 1, 231.78
Index 408, 2024-10-17 00:00:00, 1, 232.15
Index 409, 2024-10-18 00:00:00, -1, 235.0
Index 410, 2024-10-21 00:00:00, -1, 236.48
Index 411, 2024-10-22 00:00:00, -1, 235.86
Index 412, 2024-10-23 00:00:00, 1, 230.76
Index 413, 2024-10-24 00:00:00, 1, 230.57
Index 414, 2024-10-25 00:00:00, -1, 231.41
Index 415, 2024-10-28 00:00:00, -1, 233.4
Index 416, 2024-10-29 00:00:00, -1, 233.67
Index 417, 2024-10-30 00:00:00, -1, 230.1
Index 418, 2024-10-31 00:00:00, 1, 225.91
Index 419, 2024-11-01 00:00:00, 1, 222.91
Index 420, 2024-11-04 00:00:00, 1, 222.01
Index 421, 2024-11-05 00:00:00, 1, 223.45
Index 422, 2024-11-06 00:00:00, 1, 222.72
Index 423, 2024-11-07 00:00:00, -1, 227.48
Index 424, 2024-11-08 00:00:00, 1, 226.96
Index 425, 2024-11-11 00:00:00, 1, 224.23
Index 426, 2024-11-12 00:00:00, 1, 224.23
Index 427, 2024-11-13 00:00:00, 1, 225.12
Index 428, 2024-11-14 00:00:00, 1, 228.22
Index 429, 2024-11-15 00:00:00, 1, 225.0
Index 430, 2024-11-18 00:00:00, 1, 228.02
Index 431, 2024-11-19 00:00:00, 1, 228.28
Index 432, 2024-11-20 00:00:00, 1, 229.0
Index 433, 2024-11-21 00:00:00, 1, 228.52
Index 434, 2024-11-22 00:00:00, 1, 229.87
Index 435, 2024-11-25 00:00:00, 1, 232.87
Index 436, 2024-11-26 00:00:00, 1, 235.06
Index 437, 2024-11-27 00:00:00, 1, 234.93
Index 438, 2024-11-29 00:00:00, 1, 237.33
Index 439, 2024-12-02 00:00:00, 1, 239.59
Index 440, 2024-12-03 00:00:00, 1, 242.65
Index 441, 2024-12-04 00:00:00, 1, 243.01
Index 442, 2024-12-05 00:00:00, 1, 243.04
Index 443, 2024-12-06 00:00:00, 1, 242.84
Index 444, 2024-12-09 00:00:00, 1, 246.75
Index 445, 2024-12-10 00:00:00, 1, 247.77
Index 446, 2024-12-11 00:00:00, 1, 246.49
Index 447, 2024-12-12 00:00:00, 1, 247.96
Index 448, 2024-12-13 00:00:00, 1, 248.13
Index 449, 2024-12-16 00:00:00, 1, 251.04
Index 450, 2024-12-17 00:00:00, 1, 253.48
Index 451, 2024-12-18 00:00:00, 1, 248.05
Index 452, 2024-12-19 00:00:00, 1, 249.79
Index 453, 2024-12-20 00:00:00, 1, 254.49
Index 454, 2024-12-23 00:00:00, 1, 255.27
Index 455, 2024-12-24 00:00:00, -1, 258.2
Index 456, 2024-12-26 00:00:00, -1, 259.02
Index 457, 2024-12-27 00:00:00, -1, 255.59
Index 458, 2024-12-30 00:00:00, -1, 252.2
Index 459, 2024-12-31 00:00:00, -1, 250.42
Index 460, 2025-01-02 00:00:00, -1, 243.85
Index 461, 2025-01-03 00:00:00, -1, 243.36
Index 462, 2025-01-06 00:00:00, -1, 245.0
Index 463, 2025-01-07 00:00:00, -1, 242.21
Index 464, 2025-01-08 00:00:00, -1, 242.7
Index 465, 2025-01-10 00:00:00, -1, 236.85
Index 466, 2025-01-13 00:00:00, 1, 234.4
Index 467, 2025-01-14 00:00:00, 1, 233.28
Index 468, 2025-01-15 00:00:00, -1, 237.87
Index 469, 2025-01-16 00:00:00, 1, 228.26
Index 470, 2025-01-17 00:00:00, 1, 229.98
Index 471, 2025-01-21 00:00:00, 1, 222.64
Index 472, 2025-01-22 00:00:00, 1, 223.83
Index 473, 2025-01-23 00:00:00, 1, 223.66
Index 474, 2025-01-24 00:00:00, 1, 222.78
Index 475, 2025-01-27 00:00:00, 1, 229.86
Index 476, 2025-01-28 00:00:00, -1, 238.26
Index 477, 2025-01-29 00:00:00, -1, 239.36
Index 478, 2025-01-30 00:00:00, 1, 237.59
Index 479, 2025-01-31 00:00:00, 1, 236.0
Index 480, 2025-02-03 00:00:00, 1, 228.01
Index 481, 2025-02-04 00:00:00, 1, 232.8
Index 482, 2025-02-05 00:00:00, 1, 232.47
Index 483, 2025-02-06 00:00:00, 1, 233.22
Index 484, 2025-02-07 00:00:00, 1, 227.63
Index 485, 2025-02-10 00:00:00, 1, 227.65
Index 486, 2025-02-11 00:00:00, 1, 232.62
Index 487, 2025-02-12 00:00:00, 1, 236.87
Index 488, 2025-02-13 00:00:00, 1, 241.53
Index 489, 2025-02-14 00:00:00, 1, 244.6
Index 490, 2025-02-18 00:00:00, 1, 244.47
