Date,Open,High,Low,Close,Volume
2024-03-22,166.69,171.2,166.3,170.83,75540637.0
2024-03-21,176.39,178.18,171.8,172.82,73067414.0
2024-03-20,173.0,176.25,170.82,175.66,83846726.0
2024-03-19,172.36,172.82,167.42,171.32,77268528.0
2024-03-18,170.02,174.72,165.9,173.8,108217337.0
2024-03-15,163.16,165.1845,160.76,163.57,96978832.0
2024-03-14,167.77,171.17,160.51,162.5,126242246.0
2024-03-13,173.05,176.05,169.15,169.48,106518518.0
2024-03-12,177.77,179.43,172.4101,177.54,87303524.0
2024-03-11,175.445,182.87,174.8,177.77,85241528.0
2024-03-08,181.5,182.73,174.7,175.34,85544644.0
2024-03-07,174.35,180.04,173.7,178.65,102129004.0
2024-03-06,179.99,181.576,173.7,176.54,107869464.0
2024-03-05,183.05,184.59,177.57,180.74,119597758.0
2024-03-04,198.73,199.75,186.72,188.14,134301269.0
2024-03-01,200.52,204.52,198.5,202.64,82243119.0
2024-02-29,204.18,205.28,198.4463,201.88,85905374.0
2024-02-28,200.42,205.3,198.44,202.04,99806173.0
2024-02-27,204.04,205.6,198.26,199.73,108606912.0
2024-02-26,192.29,201.78,192.0,199.4,111628616.0
2024-02-23,195.31,197.57,191.5,191.97,78841917.0
2024-02-22,194.0,198.32,191.36,197.41,92739461.0
2024-02-21,193.36,199.44,191.95,194.77,103844008.0
2024-02-20,196.13,198.6,189.13,193.76,104537762.0
2024-02-16,202.06,203.17,197.4,199.95,111346705.0
2024-02-15,189.16,200.88,188.8595,200.45,120815962.0
2024-02-14,185.3,188.89,183.35,188.71,81202987.0
2024-02-13,183.99,187.26,182.1087,184.02,86759478.0
2024-02-12,192.11,194.73,187.28,188.13,95431097.0
2024-02-09,190.18,194.12,189.48,193.57,84476347.0
2024-02-08,189.0,191.6171,185.58,189.56,83034043.0
2024-02-07,188.18,189.79,182.68,187.58,111535217.0
2024-02-06,177.21,186.49,177.11,185.1,122575954.0
2024-02-05,184.26,184.68,175.01,181.06,133945447.0
2024-02-02,185.04,188.69,182.0,187.91,110612672.0
2024-02-01,188.5,189.88,184.28,188.86,91843275.0
2024-01-31,186.995,193.97,185.8459,187.29,103221430.0
2024-01-30,195.33,196.3593,190.61,191.59,109965827.0
2024-01-29,185.63,191.48,183.67,190.93,124961148.0
2024-01-26,185.5,186.78,182.1,183.25,107387389.0
2024-01-25,189.7,193.0,180.06,182.63,197923887.0
2024-01-24,211.88,212.73,206.77,207.83,123285962.0
